read_id	read_length	left_orientation	left_score	left_aln_primer_bases	left_matches	left_mismatches	left_identity	left_primer_coverage	left_window_start	left_window_end	right_orientation	right_score	right_aln_primer_bases	right_matches	right_mismatches	right_identity	right_primer_coverage	right_window_start	right_window_end	left_hit	right_hit	flanked	flanked_orientation
4243_3LV7H5_2	601	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	31.0	20	19	1	0.95	1.0	20	46	True	True	True	R1|R1_rc
4244_3LV7H5_2	902	R1_rc	21.0	20	15	5	0.75	1.0	59	80	R1	20.5	20	17	3	0.85	1.0	29	57	False	True	False	NA
4245_3LV7H5_2	407	R1	27.0	20	16	4	0.8	1.0	7	27	R1_rc	38.0	20	20	0	1.0	1.0	52	73	True	True	True	R1|R1_rc
4246_3LV7H5_2	418	R1	37.0	20	19	1	0.95	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
4247_3LV7H5_2	1135	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
4248_3LV7H5_2	216	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
4249_3LV7H5_2	352	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
4250_3LV7H5_2	517	R1_rc	16.0	20	15	5	0.75	1.0	0	28	R1	16.0	20	15	5	0.75	1.0	53	81	False	False	False	NA
4251_3LV7H5_2	301	R1	38.0	20	20	0	1.0	1.0	7	28	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
4252_3LV7H5_2	1452	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
